City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Mayumba,GA,2021-12-25 06:09:21,-3.432,10.6554,76.01,90,73,6.69
164,Mahanoro,MG,2021-12-25 06:09:21,-19.9,48.8,82.69,74,99,2.57
165,Tulun,RU,2021-12-25 06:09:21,54.5611,100.5792,0.68,78,12,6.17
166,Mount Gambier,AU,2021-12-25 06:03:40,-37.8333,140.7667,64.56,48,38,12.1
167,Samana,DO,2021-12-25 06:09:22,19.2056,-69.3369,73.13,91,33,4.85
168,Huarmey,PE,2021-12-25 06:09:22,-10.0681,-78.1522,67.75,88,34,5.91
169,La Crosse,US,2021-12-25 06:07:44,43.8014,-91.2396,39.56,93,1,3.0
170,Arlit,NE,2021-12-25 06:09:23,18.7369,7.3853,61.09,22,100,3.53
171,Vestmannaeyjar,IS,2021-12-25 06:09:23,63.4427,-20.2734,39.6,81,100,18.21
172,Richards Bay,ZA,2021-12-25 06:09:23,-28.783,32.0377,71.42,77,96,6.42
173,Gumrak,RU,2021-12-25 06:09:23,48.7826,44.3824,19.31,86,75,22.37
174,Tautira,PF,2021-12-25 06:09:24,-17.7333,-149.15,84.22,76,26,13.56
175,Amberley,US,2021-12-25 06:09:24,39.2048,-84.428,64.31,75,90,7.0
176,Jatai,BR,2021-12-25 06:09:24,-17.8814,-51.7144,64.72,92,8,0.67
177,Ouahigouya,BF,2021-12-25 06:09:25,13.5828,-2.4216,69.89,15,94,9.8
178,Provideniya,RU,2021-12-25 06:09:25,64.3833,-173.3,13.96,93,100,17.83
179,Hilo,US,2021-12-25 06:09:25,19.7297,-155.09,69.53,40,1,0.0
180,Tateyama,JP,2021-12-25 06:09:25,34.9833,139.8667,58.01,72,76,4.59
181,Bambous Virieux,MU,2021-12-25 06:10:26,-20.3428,57.7575,84.22,68,100,5.57
182,Upernavik,GL,2021-12-25 06:08:22,72.7868,-56.1549,3.88,98,90,10.89
183,Lompoc,US,2021-12-25 06:10:26,34.6391,-120.4579,52.79,84,90,0.0
184,Traverse City,US,2021-12-25 06:10:26,44.7631,-85.6206,44.8,96,90,0.0
185,Deputatskiy,RU,2021-12-25 06:09:36,69.3,139.9,-37.37,100,74,4.88
186,Asau,RO,2021-12-25 06:05:53,46.4333,26.4,42.76,87,100,6.85
187,Inuvik,CA,2021-12-25 06:10:27,68.3499,-133.7218,-12.24,77,90,2.3
188,Dodge City,US,2021-12-25 06:10:27,37.7528,-100.0171,39.45,65,1,6.91
189,Tyukalinsk,RU,2021-12-25 06:10:27,55.8732,72.1967,-8.64,94,6,6.62
190,Morondava,MG,2021-12-25 06:10:28,-20.2833,44.2833,85.35,65,100,4.16
191,Nizwa,OM,2021-12-25 06:10:28,22.9333,57.5333,76.95,29,1,3.49
192,Lavrentiya,RU,2021-12-25 06:05:53,65.5833,-171.0,6.76,93,100,13.6
193,Quesnel,CA,2021-12-25 06:10:28,52.9999,-122.5029,-13.85,97,100,4.65
194,Niamey,NE,2021-12-25 06:10:29,13.5137,2.1098,69.17,19,78,9.44
195,Nome,US,2021-12-25 06:10:29,64.5011,-165.4064,23.16,86,90,20.71
196,Lasa,IT,2021-12-25 06:10:29,46.6166,10.7002,30.36,78,100,3.2
197,Gold Coast,AU,2021-12-25 06:10:30,-28.0,153.4333,78.39,90,40,1.01
198,Mazamari,PE,2021-12-25 06:10:30,-11.3258,-74.5308,68.16,88,71,2.26
199,Chitral,PK,2021-12-25 06:10:30,35.8462,71.7858,41.68,41,35,4.54
200,Half Moon Bay,US,2021-12-25 06:09:35,37.4636,-122.4286,51.85,88,40,5.01
201,Zvishavane,ZW,2021-12-25 06:10:31,-20.3267,30.0665,70.54,86,95,7.58
202,Shingu,JP,2021-12-25 06:10:31,33.7333,135.9833,53.91,51,1,16.51
203,Mujiayingzi,CN,2021-12-25 06:10:32,42.1167,118.7833,7.79,35,0,14.9
204,Saint-Louis,SN,2021-12-25 06:10:32,16.3333,-15.0,77.63,20,100,8.23
205,Chicama,PE,2021-12-25 06:10:32,-7.8447,-79.1469,67.71,85,59,6.11
206,Guerrero Negro,MX,2021-12-25 06:10:33,27.9769,-114.0611,61.18,82,80,10.2
207,Petropavlovsk-Kamchatskiy,RU,2021-12-25 06:10:33,53.0452,158.6483,10.78,61,75,6.71
208,Lujiang,CN,2021-12-25 06:10:33,31.2581,117.2817,37.56,46,99,12.01
209,Novopavlovka,RU,2021-12-25 06:10:34,51.2172,109.2091,-3.37,81,86,5.28
210,Kangundo,KE,2021-12-25 06:10:34,-1.2979,37.3471,61.14,91,100,3.22
211,Gamba,GA,2021-12-25 06:10:34,-2.65,10.0,75.92,91,61,6.64
212,Champerico,GT,2021-12-25 06:10:35,14.3,-91.9167,77.29,77,10,4.21
213,Oshnaviyeh,IR,2021-12-25 06:10:35,37.0397,45.0983,21.67,72,38,4.21
214,Kruisfontein,ZA,2021-12-25 06:10:35,-34.0033,24.7314,64.89,76,84,10.38
215,Maragogi,BR,2021-12-25 06:10:36,-9.0122,-35.2225,77.54,84,98,10.0
216,Tasiilaq,GL,2021-12-25 06:10:36,65.6145,-37.6368,23.16,57,78,7.29
217,Karasburg,NA,2021-12-25 06:10:36,-28.0167,18.75,68.22,44,0,10.65
218,Male,MV,2021-12-25 06:07:07,4.1748,73.5089,81.01,67,35,16.22
219,Airai,TL,2021-12-25 06:10:37,-8.9266,125.4092,61.12,95,100,5.01
220,Castro,BR,2021-12-25 06:10:37,-24.7911,-50.0119,51.57,99,27,5.53
221,Vrangel,RU,2021-12-25 06:10:37,42.7297,133.0839,-0.87,69,13,21.77
222,Korla,CN,2021-12-25 06:10:38,41.7597,86.1469,32.04,41,17,7.61
