City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Eyl,SO,83.3,broken clouds,7.9803,49.8164,Amiin Hotel
429,Segou,ML,77.5,overcast clouds,13.4317,-6.2157,Comme chez soi
432,Ewa Beach,US,71.1,broken clouds,21.3156,-158.0072,Uncle Junior Robert
434,Aquidauana,BR,72.48,scattered clouds,-20.4711,-55.7872,HOTEL ARARAS
439,Acarau,BR,78.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
440,Sonamura,IN,77.0,clear sky,23.4719,91.2664,Sorojini Guest House
445,Yeppoon,AU,80.38,light rain,-23.1333,150.7333,Villa Mar Colina
450,Manokwari,ID,82.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
451,Cabinda,AO,83.3,few clouds,-5.55,12.2,Hotel Maiombe
457,Tual,ID,83.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
461,Sisophon,KH,83.48,overcast clouds,13.5859,102.9737,Pyramid Hotel
462,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
465,Ibateguara,BR,75.11,overcast clouds,-8.9725,-35.9394,Auto Posto e Pousada TopLine
472,Tchollire,CM,86.04,broken clouds,8.4022,14.1698,"Auberge ""l'amicale"""
479,Manggar,ID,79.7,overcast clouds,-2.8833,108.2667,Guest Hotel
480,Coolum Beach,AU,76.1,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
483,Nelson Bay,AU,77.29,light rain,-32.7167,152.15,Mantra Nelson Bay
487,Richards Bay,ZA,77.36,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
490,Daru,PG,81.68,overcast clouds,-9.0763,143.2092,Daru Lodge
493,Simoes,BR,72.25,moderate rain,-7.5989,-40.8178,Hotel Ponto Certo
497,Hobyo,SO,82.42,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
501,Rodrigues Alves,BR,71.71,broken clouds,-7.738,-72.6509,Pousada Aconchego
502,Bourail,NC,80.6,scattered clouds,-21.5667,165.4833,Motel Allamanda
503,Saint-Joseph,RE,87.1,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
504,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
505,Uthal,PK,79.86,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
512,West Bay,KY,77.0,few clouds,19.3667,-81.4167,Calypso Cove
515,Kirakira,SB,81.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
518,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
519,Libreville,GA,80.62,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
520,Ouadda,CF,86.29,broken clouds,8.0777,22.4007,
521,Hirna,ET,73.49,broken clouds,9.2167,41.1,Seid Ali
522,Aquin,HT,75.13,few clouds,18.2833,-73.4,Asheev Beach
524,Djambala,CG,78.04,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
525,Grand Gaube,MU,90.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
530,Linguere,SN,77.22,clear sky,15.3953,-15.1193,AYO Casablanca
531,Moranbah,AU,74.93,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
533,Auki,SB,79.57,moderate rain,-8.7676,160.7034,Auki Motel
536,Cayenne,GF,75.24,fog,4.9333,-52.3333,Hôtel Le Dronmi
537,Kouroussa,GN,77.77,scattered clouds,10.65,-9.8833,Hotel Paillote
539,La Orilla,MX,71.02,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
540,Puntarenas,CR,78.73,scattered clouds,9.9763,-84.8384,Michael's Surfside Hotel
542,Puerto Narino,CO,73.35,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
544,Benguela,AO,80.76,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
547,Itarema,BR,78.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
553,Yenangyaung,MM,80.29,clear sky,20.4667,94.8833,Hotel Country
554,Tanete,ID,82.9,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
558,Aitape,PG,81.63,broken clouds,-3.1374,142.3475,
562,Fare,PF,81.45,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
564,Goure,NE,72.01,overcast clouds,13.9835,10.2704,
567,Port Augusta,AU,82.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
571,Yaring,TH,88.14,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
