City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Hasaki,JP,35.7333,140.8333,48.6,83,100,25.14,overcast clouds
173,Cedartown,US,34.0537,-85.255,59.52,85,90,9.82,overcast clouds
174,Paris,FR,48.8534,2.3488,49.21,98,90,4.61,mist
175,Tutoia,BR,-2.7619,-42.2744,80.4,79,91,11.12,overcast clouds
176,Charters Towers,AU,-20.1,146.2667,77.4,77,100,19.15,moderate rain
177,Cockburn Town,TC,21.4612,-71.1419,77.67,73,78,16.42,broken clouds
178,Meulaboh,ID,4.1363,96.1285,83.35,66,7,6.24,clear sky
179,Sibolga,ID,1.7427,98.7792,83.98,67,48,4.63,scattered clouds
180,Ballina,AU,-28.8667,153.5667,73.44,94,75,10.36,light rain
181,Mitchell,US,43.7094,-98.0298,19.74,79,1,8.05,clear sky
182,Torbay,CA,47.6666,-52.7314,25.57,85,75,16.11,broken clouds
183,Chokurdakh,RU,70.6333,147.9167,-32.39,99,100,9.82,overcast clouds
184,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,42,0,33.38,clear sky
185,Oranjemund,NA,-28.55,16.4333,68.95,62,50,10.94,scattered clouds
186,Kerman,IR,30.2832,57.0788,53.46,43,75,11.5,broken clouds
187,Kieta,PG,-6.2167,155.6333,81.21,84,100,2.98,moderate rain
188,Fez,MA,34.0372,-4.9998,57.45,82,75,13.8,broken clouds
189,Faanui,PF,-16.4833,-151.75,81.68,74,23,16.08,few clouds
190,Bubaque,GW,11.2833,-15.8333,78.71,69,83,8.28,broken clouds
191,Zhezkazgan,KZ,47.8043,67.7144,15.78,79,0,8.95,clear sky
192,Mosta,MT,35.9092,14.4256,62.58,88,20,13.8,few clouds
193,Aklavik,CA,68.2191,-135.0107,-12.17,91,68,5.68,broken clouds
194,El Alto,PE,-4.2714,-81.2147,68.14,79,35,13.02,scattered clouds
195,Port Hedland,AU,-20.3167,118.5667,91.45,58,35,19.57,scattered clouds
196,Amlagora,IN,22.8333,87.3333,79.03,34,0,4.97,clear sky
197,Olenino,RU,56.2092,33.4889,11.75,91,100,12.55,overcast clouds
198,Klaksvik,FO,62.2266,-6.589,36.52,58,99,12.28,overcast clouds
199,Khalkhal,IR,37.6189,48.5258,27.28,80,55,6.98,broken clouds
200,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,67.66,96,94,2.86,overcast clouds
201,Cordoba,AR,-31.4135,-64.1811,75.76,51,0,1.99,clear sky
202,Westport,US,41.1415,-73.3579,38.75,90,90,5.99,overcast clouds
203,Agadez,NE,19.75,10.25,62.65,21,100,7.63,overcast clouds
204,Alofi,NU,-19.0595,-169.9187,76.89,88,80,2.3,broken clouds
205,Bethel,US,41.3712,-73.414,35.49,87,90,4.61,overcast clouds
206,Maceio,BR,-9.6658,-35.7353,80.04,83,0,5.75,clear sky
207,Pesqueria,MX,25.7833,-100.05,69.04,80,99,2.66,overcast clouds
208,Mossendjo,CG,-2.9506,12.7261,82.11,62,22,3.47,few clouds
209,Rawson,AR,-43.3002,-65.1023,66.02,44,0,8.59,clear sky
210,Sitka,US,57.0531,-135.33,24.69,36,20,6.91,few clouds
211,Kamaishi,JP,39.2667,141.8833,25.75,76,72,7.74,broken clouds
212,Geraldton,AU,-28.7667,114.6,109.81,11,33,23.02,scattered clouds
213,Katsuura,JP,35.1333,140.3,51.19,79,97,10.58,overcast clouds
214,Korla,CN,41.7597,86.1469,32.95,38,16,9.31,few clouds
215,Sabang,ID,5.8933,95.3214,81.39,71,0,12.19,clear sky
216,Karasburg,NA,-28.0167,18.75,77.95,30,0,10.74,clear sky
217,Suluq,LY,31.6682,20.2521,58.66,73,1,7.76,clear sky
218,Gaffney,US,35.0718,-81.6498,55.76,65,47,13.78,scattered clouds
219,Santiago,CL,-33.4569,-70.6483,72.86,52,0,3.44,clear sky
220,Aykhal,RU,66.0,111.5,-21.12,99,77,2.86,broken clouds
221,Keighley,GB,53.8679,-1.9066,40.55,94,100,11.99,light rain
222,Pangoa,PE,-12.1167,-73.0,65.05,93,67,2.73,broken clouds
223,Sarakhs,IR,36.5449,61.1577,48.2,40,2,8.9,clear sky
224,Abeche,TD,13.8292,20.8324,75.22,15,0,6.91,clear sky
225,Yerbogachen,RU,61.2767,108.0108,-6.43,86,100,6.69,overcast clouds
226,Pascagoula,US,30.3658,-88.5561,66.25,84,1,8.05,clear sky
227,Haradok,BY,55.4624,29.9816,15.91,83,98,11.9,overcast clouds
